cnes,uf,ibge,nome,logradouro,bairro,latitude,longitude
7417632,53,530010,UBS 04 RECANTO DAS EMAS,QUADRA 308 AREA ESPECIAL,RECANTO DAS EMAS,-15.91967,-48.101341
7423489,53,530010,UBS 12 SAO JOSE SAO SEBASTIAO,QUADRA 31 CASA 06,SAO SEBASTIAO,-15.9097586798,-47.7649491166
7493576,53,530010,UBS 4 SANTA MARIA,QR 217 CONJUNTO D,SANTA MARIA,-16.0071336991,-47.9923045635
7526504,53,530010,UBS 05 RIACHO FUNDO II,QS 09 CONJUNTO 01 LOTE,RIACHO FUNDO II,-15.9400870599,-48.0397843
7559194,53,530010,UBS 8 SANTA MARIA,EQ 417 517 MODULO E,SANTA MARIA,-16.0143319393,-47.9884153605
7566530,53,530010,UBS 16 PDF I SAO SEBASTIAO,ROD DF 465 KM,SAO SEBASTIAO,-15.9107988042,-47.811062336
7686730,53,530010,UBS 5 SETOR DE MANSOES SOBRADINHO II,COND MINI CHACARAS QMS 16 RUA 14 CASA,SOBRADINHO II,-15.6284018872,-47.8375759721
7687079,53,530010,UBS 4 ROTA DO CAVALO SOBRADINHO,DF 440 CONDOMINIO RESIDENCIAL SERRA VERDE KM 12,SOBRADINHO,-15.702389,-47.758696
7694733,53,530010,UBS 03 ESTRUTURAL,AREA ESPECIAL 2 SETOR NORTE,ESTRUTURAL,-15.778708195,-47.9914140701
7740581,53,530010,UBS 9 SANTA MARIA,QR 402 CONJ A CASA,SANTA MARIA SUL,-16.0412096055,-48.026483953
7771479,53,530010,UBS 11 SAMAMBAIA,QR 831 CONJUNTO 02 LOTE 01,SAMAMBAIA NORTE,-15.887541,-48.147153
7843135,53,530010,UBS 16 ATP GAMA,AREA ESPECIAL ALAGADOS,SETOR LESTE,-16.0033694731,-48.0414962769
7975295,53,530010,UBS 8 CAVAS DE BAIXO SAO SEBASTIAO,BR 251 KM 29,SAO SEBASTIAO,-15.9844924729,-47.6966339116
9056963,53,530010,UBS 01 VICENTE PIRES,RUA 4C CHACARA 12 COLONIA AGRICOLA SAMAMBAIA,SETOR HABITACIONAL V,-15.8193,-48.020231
9263632,53,530010,UBS 05 GUARA,QE 38 CONJUNTO U,GUARA II,-15.8493127474,-47.9702580354
9475931,53,530010,UBS 16 CEILANDIA,QUADRA 500 AE S N TRECHO 1 SOL NASCENTE,CEILANDIA,-15.834473,-48.133699
9480587,53,530010,UBS 12 SAMAMBAIA,QR 210 CONJUNTO 22 LOTE,SAMAMBAIA NORTE,-15.865519,-48.07305
9509356,53,530010,UBS 17 CEILANDIA,EQNP 16 20 AREA ESPECIAL E F,CEILANDIA SUL,-15.846983,-48.114366
9543945,53,530010,UBS 11 RECANTO DAS EMAS,QUADRA 01 LOTE 23 SALOMAO ELIAS,RECANTO DAS EMAS,-15.941873,-48.240666
